jPSXdec: PSX media decoder (non-commercial) v2.0
Windows 11 10.0
Java 1.8.0_471
2026-01-17 02:51:30
02:51 jpsxdec.cdreaders.CdOpener INFO: C:\Users\JO\Desktop\XENO_ARC\Xenogears\XenogearsUSACD2.bin
02:51 jpsxdec.indexing.DiscIndex INFO: #:60|ID:?[46]|Sectors:184720-184722|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:61|ID:?[47]|Sectors:184723-184725|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:62|ID:?[48]|Sectors:184726-184728|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:63|ID:?[49]|Sectors:184729-184731|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:64|ID:?[50]|Sectors:184732-184734|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:65|ID:?[51]|Sectors:184735-184737|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:66|ID:?[52]|Sectors:184738-184740|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:67|ID:?[53]|Sectors:184741-184743|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:68|ID:?[54]|Sectors:184744-184746|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:69|ID:?[55]|Sectors:184747-184749|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:70|ID:?[56]|Sectors:184750-184752|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:71|ID:?[57]|Sectors:184753-184755|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:72|ID:?[58]|Sectors:184756-184758|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:73|ID:?[59]|Sectors:184759-184761|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:74|ID:?[60]|Sectors:184762-184764|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:75|ID:?[61]|Sectors:184765-184767|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:76|ID:?[62]|Sectors:184768-184770|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:77|ID:?[63]|Sectors:184771-184773|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:78|ID:?[64]|Sectors:184774-184776|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:79|ID:?[65]|Sectors:184777-184779|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:80|ID:?[66]|Sectors:184780-184782|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:81|ID:?[67]|Sectors:184783-184785|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:82|ID:?[68]|Sectors:184786-184788|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:83|ID:?[69]|Sectors:184789-184791|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:84|ID:?[70]|Sectors:184792-184794|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:85|ID:?[71]|Sectors:184795-184797|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:86|ID:?[72]|Sectors:184798-184800|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:87|ID:?[73]|Sectors:184801-184803|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:88|ID:?[74]|Sectors:184804-184806|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:89|ID:?[75]|Sectors:184807-184809|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:90|ID:?[76]|Sectors:184810-184812|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:91|ID:?[77]|Sectors:184813-184815|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:92|ID:?[78]|Sectors:184816-184818|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:93|ID:?[79]|Sectors:184819-184821|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:94|ID:?[80]|Sectors:184822-184824|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:95|ID:?[81]|Sectors:184825-184827|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:96|ID:?[82]|Sectors:184828-184830|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:97|ID:?[83]|Sectors:184831-184833|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:98|ID:?[84]|Sectors:184834-184836|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:99|ID:?[85]|Sectors:184837-184839|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:100|ID:?[86]|Sectors:184840-184842|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:101|ID:?[87]|Sectors:184843-184845|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:102|ID:?[88]|Sectors:184846-184848|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:103|ID:?[89]|Sectors:184849-184851|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:104|ID:?[90]|Sectors:184852-184854|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:105|ID:?[91]|Sectors:184855-184857|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:106|ID:?[92]|Sectors:184858-184860|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:107|ID:?[93]|Sectors:184861-184863|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:108|ID:?[94]|Sectors:184864-184866|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:109|ID:?[95]|Sectors:184867-184869|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:110|ID:?[96]|Sectors:184870-184872|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:111|ID:?[97]|Sectors:184873-184875|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
02:51 jpsxdec.indexing.DiscIndex INFO: #:112|ID:?[98]|Sectors:184876-184878|Type:Tim|Start Offset:0|Dimensions:64x64|Palettes:1|Bpp:8
